country,application_group,n_accepted,n_accepted_with_conditions,n_compatible,n_rejected,n_unclear,n_total_records,cell_text,status,status_value,cluster_value,country_order,cluster_label_raw
Switzerland,Tea/coffee preparation items,0,0,0,0,0,0,—,No application-level record,0,,13,2.0
Switzerland,Food-soiled paper / fibre packaging,0,0,0,0,0,0,—,No application-level record,0,,13,2.0
Switzerland,Shopping/produce bags,0,0,0,0,0,0,—,No application-level record,0,,13,2.0
Switzerland,Flexible films/wraps/pouches,0,0,0,0,0,0,—,No application-level record,0,,13,2.0
Switzerland,Generic compostable packaging / plastics,0,0,0,1,0,1,0/1,Rejected-dominant,2,0.0,13,2.0
United Kingdom,Food-waste liners / collection bags,5,2,7,2,0,9,7/2,Compatible-dominant,3,0.7777777777777778,10,2.0
United Kingdom,Food-service ware / takeaway packaging,0,0,0,2,0,2,0/2,Rejected-dominant,2,0.0,10,2.0
United Kingdom,Tea/coffee preparation items,0,0,0,7,0,7,0/7,Rejected-dominant,2,0.0,10,2.0
United Kingdom,Food-soiled paper / fibre packaging,0,0,0,1,0,1,0/1,Rejected-dominant,2,0.0,10,2.0
United Kingdom,Shopping/produce bags,0,0,0,0,0,0,—,No application-level record,0,,10,2.0
United Kingdom,Flexible films/wraps/pouches,0,0,0,1,0,1,0/1,Rejected-dominant,2,0.0,10,2.0
United Kingdom,Generic compostable packaging / plastics,0,0,0,8,0,8,0/8,Rejected-dominant,2,0.0,10,2.0
United States,Food-waste liners / collection bags,4,1,5,2,0,7,5/2,Compatible-dominant,3,0.7142857142857143,18,3.0
United States,Food-service ware / takeaway packaging,1,0,1,3,0,4,1/3,Rejected-dominant,2,0.25,18,3.0
United States,Tea/coffee preparation items,2,0,2,6,0,8,2/6,Rejected-dominant,2,0.25,18,3.0
United States,Food-soiled paper / fibre packaging,1,0,1,6,0,7,1/6,Rejected-dominant,2,0.14285714285714285,18,3.0
United States,Shopping/produce bags,0,0,0,1,0,1,0/1,Rejected-dominant,2,0.0,18,3.0
United States,Flexible films/wraps/pouches,3,0,3,3,0,6,3/3,Balanced conflict,4,0.5,18,3.0
United States,Generic compostable packaging / plastics,2,0,2,7,0,9,2/7,Rejected-dominant,2,0.2222222222222222,18,3.0
