certification_sufficiency_status,n,denominator,share,share_percent,denominator_basis
Certification accepted,36,158,0.22784810126582278,22.78481012658228,"Certification-relevant source × application-group records: records whose source-level Certification and Approval Basis is a certification, standard, or official approval category. Generic compostable/biodegradable wording and no named standard/approval are excluded."
Certification conditionally accepted,12,158,0.0759493670886076,7.59493670886076,"Certification-relevant source × application-group records: records whose source-level Certification and Approval Basis is a certification, standard, or official approval category. Generic compostable/biodegradable wording and no named standard/approval are excluded."
Certification rejected,107,158,0.6772151898734177,67.72151898734177,"Certification-relevant source × application-group records: records whose source-level Certification and Approval Basis is a certification, standard, or official approval category. Generic compostable/biodegradable wording and no named standard/approval are excluded."
Certification unclear or not stated,3,158,0.0189873417721519,1.89873417721519,"Certification-relevant source × application-group records: records whose source-level Certification and Approval Basis is a certification, standard, or official approval category. Generic compostable/biodegradable wording and no named standard/approval are excluded."
