Source Authority,Certification accepted,Certification conditionally accepted,Certification rejected,Certification unclear or not stated,evidence_records,share__Certification accepted,share__Certification conditionally accepted,share__Certification rejected,share__Certification unclear or not stated,denominator_basis
Intermunicipal or regional waste authority,0,0,2,0,2,0.0,0.0,1.0,0.0,Certification-relevant source × application-group records for the same Source Authority category.
Municipal sorting rule,16,6,64,1,87,0.1839080459770115,0.06896551724137931,0.735632183908046,0.011494252873563218,Certification-relevant source × application-group records for the same Source Authority category.
National rule or policy,7,2,7,2,18,0.3888888888888889,0.1111111111111111,0.3888888888888889,0.1111111111111111,Certification-relevant source × application-group records for the same Source Authority category.
"State, provincial, regional, or canton rule",8,3,21,0,32,0.25,0.09375,0.65625,0.0,Certification-relevant source × application-group records for the same Source Authority category.
Waste operator or treatment-facility rule,5,1,13,0,19,0.2631578947368421,0.05263157894736842,0.6842105263157895,0.0,Certification-relevant source × application-group records for the same Source Authority category.
