application_type,n_accepted,n_accepted_with_conditions,n_rejected,n_unclear_or_not_stated,evidence_records,lower_bound_denominator,lower_bound_compatible_share,central_denominator,central_compatible_share,upper_bound_denominator,upper_bound_compatible_share,has_zero_records,denominator_basis
Food-waste liners / collection bags,43,21,29,1,94,93,0.46236559139784944,93,0.6881720430107527,94,0.6914893617021277,No,Application-decision records for the same application group (source × detected application group). Lower/central scenarios exclude unclear/not-stated cases from the denominator; upper scenario includes them.
Food-service ware / takeaway packaging,4,1,24,0,29,29,0.13793103448275862,29,0.1724137931034483,29,0.1724137931034483,No,Application-decision records for the same application group (source × detected application group). Lower/central scenarios exclude unclear/not-stated cases from the denominator; upper scenario includes them.
Tea/coffee preparation items,5,0,43,0,48,48,0.10416666666666667,48,0.10416666666666667,48,0.10416666666666667,No,Application-decision records for the same application group (source × detected application group). Lower/central scenarios exclude unclear/not-stated cases from the denominator; upper scenario includes them.
Food-soiled paper / fibre packaging,3,0,21,0,24,24,0.125,24,0.125,24,0.125,No,Application-decision records for the same application group (source × detected application group). Lower/central scenarios exclude unclear/not-stated cases from the denominator; upper scenario includes them.
Shopping/produce bags,2,0,3,1,6,5,0.4,5,0.4,6,0.5,No,Application-decision records for the same application group (source × detected application group). Lower/central scenarios exclude unclear/not-stated cases from the denominator; upper scenario includes them.
Flexible films/wraps/pouches,3,0,17,0,20,20,0.15,20,0.15,20,0.15,No,Application-decision records for the same application group (source × detected application group). Lower/central scenarios exclude unclear/not-stated cases from the denominator; upper scenario includes them.
Generic compostable packaging / plastics,8,0,64,2,74,72,0.1111111111111111,72,0.1111111111111111,74,0.13513513513513514,No,Application-decision records for the same application group (source × detected application group). Lower/central scenarios exclude unclear/not-stated cases from the denominator; upper scenario includes them.
